park_name,year,total_hotel_income
Sequoia National Park,1911,1052.54
Joshua Tree National Park,1980,177825.61
Pinnacles National Park,1997,56102.23
Sequoia National Park,1932,42873.68
Death Valley National Park,1954,110193.92
Joshua Tree National Park,1990,333340.59
Redwood National Park,2011,123974.5
Pinnacles National Park,1987,66773.24
Sequoia National Park,1907,330.67
Kings Canyon National Park,1971,289200.98
Joshua Tree National Park,1967,135817.87
Joshua Tree National Park,1950,25834.47
Lassen Volcanic National Park,1964,132948.99
Sequoia National Park,1957,174709.41
Kings Canyon National Park,1978,281942.13
Kings Canyon National Park,1995,271530.47
Kings Canyon National Park,1967,296666.27
Pinnacles National Park,2005,55783.94
Joshua Tree National Park,2004,405472.71
Pinnacles National Park,2012,73219.26
Yosemite National Park,1948,243201.44
Yosemite National Park,1947,253543.11
Lassen Volcanic National Park,1958,113062.83
Yosemite National Park,1955,320887.75
Kings Canyon National Park,1956,218393.38
Kings Canyon National Park,1915,3467.98
Channel Islands National Park,1992,55192.55
Kings Canyon National Park,1972,342911.14
Pinnacles National Park,1932,4679.52
Death Valley National Park,1940,26392.64
Lassen Volcanic National Park,1994,125709.02
Sequoia National Park,1908,445.12
Joshua Tree National Park,1944,2528.9
Lassen Volcanic National Park,2000,122260.75
Yosemite National Park,1939,152134.08
Lassen Volcanic National Park,1919,852.59
Joshua Tree National Park,1969,179436.73
Kings Canyon National Park,1941,56627.54
Channel Islands National Park,1990,47010.55
Death Valley National Park,2015,376518.99
Kings Canyon National Park,1929,14637.11
Channel Islands National Park,2001,169699.32
Sequoia National Park,1973,275672.04
Joshua Tree National Park,1968,159583.3
Kings Canyon National Park,1979,262200.25
Joshua Tree National Park,1976,237660.52
Sequoia National Park,1917,6071.8
Sequoia National Park,1974,223870.66
Yosemite National Park,1991,1115970.45
Yosemite National Park,1907,2352.52
Kings Canyon National Park,1913,935.89
Sequoia National Park,1983,278519.26
Lassen Volcanic National Park,1989,151992.96
Sequoia National Park,1909,315.73
Lassen Volcanic National Park,1942,15733.15
Pinnacles National Park,1959,23315.06
Lassen Volcanic National Park,1927,6586.82
Lassen Volcanic National Park,1955,99272.95
Lassen Volcanic National Park,1969,142077.13
Redwood National Park,2002,132001.03
Death Valley National Park,1975,177872.09
Yosemite National Park,1940,165248.76
Pinnacles National Park,2006,51816.55
Pinnacles National Park,1964,33681.99
Yosemite National Park,1986,937849.13
Sequoia National Park,1923,9869.2
Kings Canyon National Park,1951,146748.55
Yosemite National Park,1970,742406.15
Lassen Volcanic National Park,1948,52428.85
Yosemite National Park,1946,208835.77
Yosemite National Park,1909,4334.66
Death Valley National Park,1967,155443.07
Sequoia National Park,1926,29183.48
Death Valley National Park,1943,4724.15
Kings Canyon National Park,1977,339405.14
Yosemite National Park,2002,1096008.46
Pinnacles National Park,1944,1291.73
Sequoia National Park,1963,205972.97
Yosemite National Park,2015,1353010.91
Kings Canyon National Park,1974,396715.86
Kings Canyon National Park,2007,189162.01
Lassen Volcanic National Park,2007,128828.53
Lassen Volcanic National Park,1974,133275.26
